,/Total Steps,/Epoch,Performance/Supervised Return Mean,Performance/Supervised Return Median,Performance/Supervised Return Min,Performance/Supervised Return Max,Performance/Supervised Return Std,Performance/Return Mean,Performance/Return Median,Performance/Return Min,Performance/Return Max,Performance/Return Std,/Reward Scale,/Num Episodes,/Num Added Episodes,/Num Contexts,Temperature/Alpha,Temperature/Log Alpha,Temperature/Alpha Loss,Temperature/Target Entropy,Critic/QF 1 Loss,Critic/QF 2 Loss,Critic/QF Pred Mean,Critic/QF Pred Median,Critic/QF Pred Min,Critic/QF Pred Max,Critic/QF Pred Std,Critic/QF Target Mean,Critic/QF Target Median,Critic/QF Target Min,Critic/QF Target Max,Critic/QF Target Std,Policy/Policy Loss,Policy/Policy Sample Entropy Mean,Policy/Policy Sample Entropy Median,Policy/Policy Sample Entropy Min,Policy/Policy Sample Entropy Max,Policy/Policy Sample Entropy Std,Policy/Logprobs Mean,Policy/Logprobs Median,Policy/Logprobs Min,Policy/Logprobs Max,Policy/Logprobs Std,Policy/_Action mean Mean,Policy/_Action mean Median,Policy/_Action mean Min,Policy/_Action mean Max,Policy/_Action mean Std,Policy/_Actions std Mean,Policy/_Actions std Median,Policy/_Actions std Min,Policy/_Actions std Max,Policy/_Actions std Std,Policy/_Squashed Actions Mean,Policy/_Squashed Actions Median,Policy/_Squashed Actions Min,Policy/_Squashed Actions Max,Policy/_Squashed Actions Std,Discriminator/Discriminator Loss,Discriminator/Discriminator Accuracy,/QF Itr,Timing/Collect time,Timing/Update time,Timing/Log Time
0,11017,1,78.01595,64.912285,20.6531,204.92052,51.199142,-0.76390886,-0.7547037,-24.667334,9.909759,6.4492927,0.008685889638065037,57.0,57.0,10,0.2737856,-1.29541,-4.2307444,-2.0,0.03998659,0.13204809,3.5458652e-06,4.7209465e-08,0.0,8.510555e-05,1.1041787e-05,0.31164077,0.35687524,-1.1600791,0.5873515,0.18726352,-0.35744607,1.3055565,1.3700317,-6.611399,2.3107462,0.5961068,-1.3055565,-1.3706434,-2.3107462,6.611399,0.5961068,-0.012599177,-0.024587393,-1.8579168,4.359116,0.23894185,0.9169877,0.921707,0.35120198,1.5175842,0.10971108,-0.05318016,-0.08669948,-0.992245,0.99823546,0.60789573,2.2867782,0.1328125,999,0.0004611015319824219,0.06278800964355469,0.015140771865844727
0,11004,1,52.890457,42.62677,20.230022,165.2023,31.398544,-2.3959122,-1.2811775,-34.161903,21.297785,7.4056406,0.008685889638065037,72.0,72.0,10,0.2699546,-1.3095015,-4.162296,-2.0,0.18245712,0.18245962,8.156061e-12,4.3496275e-20,0.0,7.8442347e-10,7.097659e-11,0.3115205,0.3557673,-3.6693132,1.1407756,0.2928303,-0.2992046,1.1083515,1.3182343,-26.08143,2.6491902,1.82866,-1.1083515,-1.3224963,-2.6491902,26.08143,1.82866,0.012192421,-0.0077539086,-2.5287871,7.334922,0.38937646,0.8318709,0.8301625,0.036239434,7.389056,0.33800262,-0.0076200934,-0.029876256,-0.9918229,1.0,0.58378613,2.243334,0.125,999,0.00046634674072265625,0.06557106971740723,0.0141448974609375
0,11006,1,59.459293,51.57562,20.955435,156.30475,29.313908,-0.62678605,0.66273546,-17.40638,6.1128116,4.100077,0.008685889638065037,71.0,71.0,10,0.27272147,-1.2993042,-4.2704597,-2.0,0.060712688,0.0634715,1.3320134,1.4386606,0.15449408,2.927977,0.47741082,1.3952662,1.5137807,-0.0013599556,2.5011718,0.54587466,-1.6987034,1.3445592,1.3496816,0.5155555,3.3331468,0.33694562,-1.3445592,-1.3529798,-3.3331468,-0.5155555,0.33694562,-0.009947042,0.022610182,-0.4229914,0.36269388,0.15639949,0.83145624,0.82195866,0.6729884,1.1543946,0.075032994,0.016123794,0.024522513,-0.99036205,0.9900511,0.57560784,2.2829812,0.125,999,0.0005939006805419922,0.0622859001159668,0.016196250915527344
